Date,Exchange Rate,WTI  Cushing,"Brent Sullom Voe,  UK",Edmonton_Price,Synthetic  Edmonton,Western Canada Select  Hardisty,Implied Bitumen  Hardisty
2020-02-01,-,-,-,-,-,-,-
2020-02-02,-,-,-,-,-,-,-
2020-02-03,1.3286,419,445,347,384,253,185
2020-02-04,1.3277,414,443,347,378,262,201
2020-02-05,1.3282,424,460,361,393,279,221
2020-02-06,1.3284,426,455,362,393,282,224
2020-02-07,1.3308,421,451,352,387,272,213
2020-02-08,-,-,-,-,-,-,-
2020-02-09,-,-,-,-,-,-,-
2020-02-10,1.3317,415,444,349,381,274,218
2020-02-11,1.3286,417,452,356,395,284,230
2020-02-12,1.3250,426,468,369,406,289,231
2020-02-13,1.3267,429,470,370,410,291,233
2020-02-14,1.3252,434,477,376,416,295,237
2020-02-15,-,-,-,-,-,-,-
2020-02-16,-,-,-,-,-,-,-
2020-02-17,-,-,-,-,-,-,-
2020-02-18,1.3260,434,478,376,414,290,230
2020-02-19,1.3221,443,491,385,442,303,243
2020-02-20,1.3259,449,488,407,448,305,243
2020-02-21,1.3225,443,481,403,443,305,245
2020-02-22,-,-,-,-,-,-,-
2020-02-23,-,-,-,-,-,-,-
2020-02-24,1.3293,429,465,396,432,293,233
2020-02-25,1.3279,416,454,380,420,286,227
2020-02-26,1.3333,409,442,378,416,289,233
2020-02-27,1.3391,397,428,364,401,274,218
2020-02-28,1.3407,377,422,355,389,262,208
2020-02-29,-,-,-,-,-,-,-
,1.3288,422,459,370,408,284,225
