Date,Exchange Rate,WTI  Cushing,"Brent  Sullom Voe,  UK",Edmonton_Price,Synthetic  Edmonton,Western Canada  Select Hardisty,Implied Bitumen  Hardisty
2020-06-01,1.3573,303,318,284,293,248,234
2020-06-02,1.3519,313,325,295,303,248,233
2020-06-03,1.3495,317,325,289,296,240,221
2020-06-04,1.3500,318,331,285,284,236,214
2020-06-05,1.3422,334,347,309,302,258,237
2020-06-06,-,-,-,-,-,-,-
2020-06-07,-,-,-,-,-,-,-
2020-06-08,1.3382,321,336,295,293,246,225
2020-06-09,1.3417,329,336,295,294,250,229
2020-06-10,1.3412,334,341,306,304,256,235
2020-06-11,1.3629,312,324,291,292,237,217
2020-06-12,1.3589,310,329,293,283,242,224
2020-06-13,-,-,-,-,-,-,-
2020-06-14,-,-,-,-,-,-,-
2020-06-15,1.3572,317,337,289,289,250,233
2020-06-16,1.3541,327,343,292,298,253,236
2020-06-17,1.3565,324,341,292,302,248,228
2020-06-18,1.3600,332,351,302,311,257,238
2020-06-19,1.3607,340,355,308,317,263,244
2020-06-20,-,-,-,-,-,-,-
2020-06-21,-,-,-,-,-,-,-
2020-06-22,1.3522,344,359,308,323,269,250
2020-06-23,1.3550,343,356,305,320,264,243
2020-06-24,1.3638,325,338,288,302,249,228
2020-06-25,1.3638,332,346,297,312,258,241
2020-06-26,1.3688,331,345,290,290,247,227
2020-06-27,-,-,-,-,-,-,-
2020-06-28,-,-,-,-,-,-,-
2020-06-29,1.3659,341,354,301,297,260,242
2020-06-30,1.3576,335,349,295,294,249,229
,1.3550,326,340,296,300,251,232
