Date,Exchange Rate,WTI  Cushing,"Brent  Sullom Voe,  UK",Edmonton_Price,Synthetic  Edmonton,Western Canada Select  Hardisty,Implied Bitumen  Hardisty
2021-06-01,1.2071,514,532,478,504,406,367
2021-06-02,1.2035,521,536,485,509,415,377
2021-06-03,1.2107,524,540,489,510,414,375
2021-06-04,1.2084,529,541,489,512,417,378
2021-06-05,-,-,-,-,-,-,-
2021-06-06,-,-,-,-,-,-,-
2021-06-07,1.2082,526,539,492,513,422,385
2021-06-08,1.2111,534,546,499,520,430,391
2021-06-09,1.2111,533,545,495,516,426,388
2021-06-10,1.2096,535,546,499,519,427,388
2021-06-11,1.2158,542,553,506,526,434,394
2021-06-12,-,-,-,-,-,-,-
2021-06-13,-,-,-,-,-,-,-
2021-06-14,1.2144,541,555,508,527,435,395
2021-06-15,1.2184,553,566,520,539,446,406
2021-06-16,1.2277,557,569,522,538,448,410
2021-06-17,1.2358,552,568,520,534,444,405
2021-06-18,1.2465,562,574,529,543,456,418
2021-06-17,-,-,-,-,-,-,-
2021-06-18,-,-,-,-,-,-,-
2021-06-21,1.2363,573,579,537,553,466,429
2021-06-22,1.2306,566,577,535,553,463,427
2021-06-23,1.2306,567,582,536,554,459,421
2021-06-24,1.2324,569,583,538,555,461,424
2021-06-25,1.2292,574,586,541,558,465,427
2021-06-26,-,-,-,-,-,-,-
2021-06-27,-,-,-,-,-,-,-
2021-06-28,1.2337,566,577,535,551,457,419
2021-06-29,1.2401,569,586,541,558,463,425
2021-06-30,1.2398,573,586,542,559,464,424
,1.2228,549,562,515,534,442,403
