Date,Exchange Rate,WTI  Cushing,"Brent  Sullom Voe, UK",Edmonton_Price,Synthetic Crude Oil  Edmonton,Western Canadian Select  Hardisty,Implied Bitumen  Hardisty
2021-08-31,1.2616,543.56,565.31,513.65,532.29,444.61,398.90
2021-08-30,1.2606,548.76,568.11,517.68,536.31,448.70,403.03
2021-08-29,-,-,-,-,-,-,-
2021-08-28,-,-,-,-,-,-,-
2021-08-27,1.2620,545.64,565.88,514.92,533.97,447.45,402.21
2021-08-26,1.2687,538.00,559.15,508.00,527.15,438.57,393.25
2021-08-25,1.2591,541.77,559.67,508.12,527.91,440.01,395.02
2021-08-24,1.2589,535.83,556.26,501.15,523.71,432.65,386.17
2021-08-23,1.2654,523.79,542.33,489.33,509.22,418.49,373.84
2021-08-22,-,-,-,-,-,-,-
2021-08-21,-,-,-,-,-,-,-
2021-08-20,1.2821,502.56,522.32,465.46,487.64,395.71,350.47
2021-08-19,1.2828,513.89,535.11,485.24,504.20,413.43,368.65
2021-08-18,1.2658,521.17,536.14,483.67,503.18,413.61,369.26
2021-08-17,1.2629,528.95,548.33,496.14,517.19,427.04,382.24
2021-08-16,1.2574,532.18,550.45,505.37,525.94,432.22,388.48
2021-08-15,-,-,-,-,-,-,-
2021-08-14,-,-,-,-,-,-,-
2021-08-13,1.2515,538.74,552.04,505.60,525.67,434.75,389.89
2021-08-12,1.2526,544.33,559.70,514.24,531.57,438.21,391.25
2021-08-11,1.2504,544.64,562.72,516.01,533.31,441.69,395.52
2021-08-10,1.2520,537.77,557.54,508.71,526.83,433.90,386.81
2021-08-09,1.2577,525.90,546.63,497.58,517.36,420.85,372.04
2021-08-08,-,-,-,-,-,-,-
2021-08-07,-,-,-,-,-,-,-
2021-08-06,1.2554,539.15,554.95,505.67,527.39,430.27,382.18
2021-08-05,1.2506,543.46,560.69,512.32,530.41,436.41,388.74
2021-08-04,1.2540,537.53,554.25,502.11,523.01,422.06,371.34
2021-08-03,1.2539,556.49,569.98,522.97,546.63,441.34,390.16
2021-08-02,1.2510,560.71,577.32,528.22,551.43,447.56,396.97
2021-08-01,-,-,-,-,-,-,-
,1.2598,536.58,554.77,504.64,524.65,431.80,385.29
