Date,Exchange Rate,WTI  Cushing,"Brent  Sullom Voe, UK",Edmonton_Price,Synthetic  Edmonton,Western Canada Select  Hardisty,Implied Bitumen  Hardisty
2022-03-01,1.2743,828.84,889.44,831.89,863.95,751.74,701.72
2022-03-02,1.2631,878.68,975.21,890.04,925.00,795.90,742.98
2022-03-03,1.2681,858.79,939.03,867.80,905.29,768.10,713.06
2022-03-04,1.2731,926.31,989.25,923.03,960.67,821.34,765.36
2022-03-05,-,-,-,-,-,-,-
2022-03-06,-,-,-,-,-,-,-
2022-03-07,1.2820,962.79,1045.12,970.61,1010.52,867.39,809.34
2022-03-08,1.2885,1002.52,1085.10,1014.75,1055.68,899.27,839.21
2022-03-09,1.2809,875.75,954.79,904.60,946.89,784.15,725.42
2022-03-10,1.2769,851.50,917.35,871.81,911.17,752.95,692.87
2022-03-11,1.2744,876.36,934.55,891.03,930.31,772.40,712.44
2022-03-12,-,-,-,-,-,-,-
2022-03-13,-,-,-,-,-,-,-
2022-03-14,1.2824,830.88,882.67,824.11,859.60,709.97,650.69
2022-03-15,1.2765,774.31,821.84,772.38,815.74,663.99,605.30
2022-03-16,1.2677,757.81,811.15,768.49,813.55,656.47,596.66
2022-03-17,1.2628,817.95,881.33,830.58,875.45,718.58,658.85
2022-03-18,1.2603,829.96,887.59,813.71,849.38,724.53,678.63
2022-03-19,-,-,-,-,-,-,-
2022-03-20,-,-,-,-,-,-,-
2022-03-21,1.2593,888.08,939.01,885.38,917.07,786.37,741.38
2022-03-22,1.2570,883.61,910.49,870.64,902.27,771.81,726.90
2022-03-23,1.2562,921.52,962.85,909.91,960.87,817.86,774.32
2022-03-24,1.2526,900.84,932.04,882.09,932.51,788.73,749.89
2022-03-25,1.2477,905.64,939.77,890.02,940.24,798.98,761.16
2022-03-26,-,-,-,-,-,-,-
2022-03-27,-,-,-,-,-,-,-
2022-03-28,1.2518,834.29,865.23,817.51,866.72,725.00,687.52
2022-03-29,1.2497,819.37,872.89,827.15,877.85,737.15,698.71
2022-03-30,1.2481,846.42,888.34,848.30,895.80,756.46,717.91
2022-03-31,1.2505,788.74,838.45,798.73,840.81,703.95,663.84
,1.2654,863.52,920.15,865.42,906.84,764.05,713.66
