Date,Exchange Rate,Exchange Rate.1,WTI  Cushing,"Brent  Sullom Voe, UK",Edmonton_Price,Synthetic  Edmonton,Western Canada Select  Hardisty,Implied Bitumen  Hardisty
2023-02-01,1.3291,638.77,638.77,687.59,629.32,679.90,453.77,355.96
2023-02-02,1.3316,635.53,635.53,682.02,621.04,670.04,442.65,343.90
2023-02-03,1.3397,618.42,618.42,667.88,601.82,642.69,427.81,330.65
2023-02-04,-,-,-,-,-,-,-,-
2023-02-05,-,-,-,-,-,-,-,-
2023-02-06,1.3446,626.77,626.77,684.96,616.54,656.71,454.58,362.73
2023-02-07,1.3399,650.11,650.11,703.29,638.48,681.04,491.42,405.46
2023-02-08,1.3447,663.69,663.69,715.20,649.82,693.38,499.69,411.98
2023-02-09,1.3454,660.57,660.57,706.86,644.15,687.73,501.56,415.08
2023-02-10,1.3344,669.10,669.10,720.72,655.34,698.98,513.07,427.97
2023-02-11,-,-,-,-,-,-,-,-
2023-02-12,-,-,-,-,-,-,-,-
2023-02-13,1.3332,672.02,672.02,714.62,652.31,694.24,511.44,425.90
2023-02-14,1.3337,663.21,663.21,709.52,653.15,695.09,509.28,422.46
2023-02-15,1.3394,662.09,662.09,709.94,650.55,704.46,509.86,424.09
2023-02-16,1.3458,664.40,664.40,707.07,648.41,703.43,505.77,418.67
2023-02-17,1.3473,646.93,646.93,696.33,634.55,689.64,491.76,404.56
2023-02-18,-,-,-,-,-,-,-,-
2023-02-19,-,-,-,-,-,-,-,-
2023-02-20,1.3453,645.96,645.96,702.24,633.61,688.61,491.03,403.96
2023-02-21,1.3538,648.51,648.51,697.56,635.49,690.83,490.73,402.60
2023-02-22,1.3552,628.64,628.64,679.44,616.71,670.41,484.16,407.10
2023-02-23,1.3549,641.20,641.20,697.62,633.79,685.34,499.99,423.29
2023-02-24,1.3611,653.38,653.38,707.23,644.65,696.44,514.52,439.27
2023-02-25,-,-,-,-,-,-,-,-
2023-02-26,-,-,-,-,-,-,-,-
2023-02-27,1.3575,646.19,646.19,696.73,635.09,686.74,505.30,430.25
2023-02-28,1.3647,661.37,661.37,707.81,648.24,700.60,517.77,442.32
,1.3451,649.84,649.84,699.73,637.15,685.82,490.81,404.91
