date,WCS_CAD_per_m3
2019-01-02,1.3579
2019-01-03,1.3488
2019-01-04,1.3374
2019-01-05,1.3349
2019-01-06,1.3324
2019-01-07,1.3299
2019-01-08,1.3274
2019-01-09,1.3209
2019-01-10,1.3236
2019-01-11,1.3267
2019-01-12,1.3273
2019-01-13,1.3279
2019-01-14,1.3285
2019-01-15,1.3266
2019-01-16,1.3255
2019-01-17,1.3279
2019-01-18,1.326
2019-01-19,1.328375
2019-01-20,1.33075
2019-01-21,1.333125
2019-01-22,1.3355
2019-01-23,1.3343
2019-01-24,1.335
2019-01-25,1.3218
2019-01-26,1.3232666666666668
2019-01-27,1.3247333333333333
2019-01-28,1.3262
2019-01-29,1.3269
2019-01-30,1.3149
2019-01-31,1.3125
2019-02-01,1.3102
2019-02-02,1.3104666666666667
2019-02-03,1.3107333333333333
2019-02-04,1.311
2019-02-05,1.3126
2019-02-06,1.3214
2019-02-07,1.3308
2019-02-08,1.3278
2019-02-09,1.3286
2019-02-10,1.3294000000000001
2019-02-11,1.3302
2019-02-12,1.3238
2019-02-13,1.3254
2019-02-14,1.3295
2019-02-15,1.3244
2019-02-16,1.323575
2019-02-17,1.32275
2019-02-18,1.321925
2019-02-19,1.3211
2019-02-20,1.3176
2019-02-21,1.3232
2019-02-22,1.3135
2019-02-23,1.3152333333333333
2019-02-24,1.3169666666666666
2019-02-25,1.3187
2019-02-26,1.3169
2019-02-27,1.3156
2019-02-28,1.3172
2019-03-01,1.3297
2019-03-02,1.3299
2019-03-03,1.3301
2019-03-04,1.3303
2019-03-05,1.335
2019-03-06,1.3442
2019-03-07,1.3455
2019-03-08,1.3416
2019-03-09,1.3408666666666667
2019-03-10,1.3401333333333332
2019-03-11,1.3394
2019-03-12,1.3354
2019-03-13,1.3302
2019-03-14,1.3335
2019-03-15,1.3336
2019-03-16,1.3335333333333332
2019-03-17,1.3334666666666666
2019-03-18,1.3334
2019-03-19,1.332
2019-03-20,1.3305
2019-03-21,1.3364
2019-03-22,1.3429
2019-03-23,1.3420666666666667
2019-03-24,1.3412333333333333
2019-03-25,1.3404
2019-03-26,1.3381
2019-03-27,1.3409
2019-03-28,1.3438
2019-03-29,1.3349
2019-03-30,1.3335
2019-03-31,1.3321
2019-04-01,1.3307
2019-04-02,1.3337
2019-04-03,1.3345
2019-04-04,1.3359
2019-04-05,1.3384
2019-04-06,1.3360666666666667
2019-04-07,1.3337333333333332
2019-04-08,1.3314
2019-04-09,1.333
2019-04-10,1.3319
2019-04-11,1.3383
2019-04-12,1.3323
2019-04-13,1.3337666666666668
2019-04-14,1.3352333333333333
2019-04-15,1.3367
2019-04-16,1.335
2019-04-17,1.3341
2019-04-18,1.3376
2019-04-19,1.336875
2019-04-20,1.33615
2019-04-21,1.3354249999999999
2019-04-22,1.3347
2019-04-23,1.3423
2019-04-24,1.3493
2019-04-25,1.3485
2019-04-26,1.3455
2019-04-27,1.3456
2019-04-28,1.3457000000000001
