observation_date,CLVMNACSCAB1GQNO
2018-01-01,740749.5
2018-04-01,742977.2
2018-07-01,747658.0
2018-10-01,747909.9
2019-01-01,744595.4
2019-04-01,750999.1
2019-07-01,755266.1
2019-10-01,761526.7
2020-01-01,754262.0
2020-04-01,715141.1
2020-07-01,740968.6
2020-10-01,746759.9
2021-01-01,760113.8
2021-04-01,749896.9
2021-07-01,785100.9
2021-10-01,781503.5
2022-01-01,780098.4
2022-04-01,789877.7
2022-07-01,809391.2
2022-10-01,797300.4
2023-01-01,798605.7
2023-04-01,791443.1
2023-07-01,785202.4
2023-10-01,807114.7
